time,Label1,Label2
2022/7/18 2:40,10252.278062256972,9247.45677851634
2022/7/18 2:42,10297.734896289805,9338.732950981002
2022/7/18 2:44,10299.069441422258,9400.240091951993
2022/7/18 2:46,10364.39427123931,9301.594286761781
2022/7/18 2:48,10294.812802079163,9321.768931114753
2022/7/18 2:50,10305.575739822909,9209.275614685877
2022/7/18 2:52,10406.640526170775,9164.2346809761
2022/7/18 2:54,10451.03714467787,9215.408251954015
2022/7/18 2:56,10557.63760466473,9274.432221029203
2022/7/18 2:58,10890.536322202966,9244.322956734908
2022/7/18 3:00,10935.4572178313,9315.302728593604
2022/7/18 3:02,10898.090144494732,9232.964625671233
2022/7/18 3:04,10688.677765764987,9170.56573241105
2022/7/18 3:06,10822.424606075692,9262.896839674244
2022/7/18 3:08,10841.108082000554,9150.717489811286
2022/7/18 3:10,10924.813282967592,9026.244009493059
2022/7/18 3:12,10706.846892801017,9199.749546273933
2022/7/18 3:14,10523.314001303472,8999.673800704688
2022/7/18 3:16,10520.073515769063,8943.14437444606
2022/7/18 3:18,10471.163561852512,8876.987174050691
2022/7/18 3:20,10478.570975302418,8963.158033728228
2022/7/18 3:22,10445.339115050556,8979.42522498658
2022/7/18 3:24,10542.700548069673,8949.303917893187
2022/7/18 3:26,10406.65704345874,8984.581489555398
2022/7/18 3:28,10532.190448421272,8849.046173510493
2022/7/18 3:30,10603.53969045778,8805.78803079608
2022/7/18 3:32,10769.947159108755,8786.296943845638
2022/7/18 3:34,10752.3726900409,8769.646260118434
2022/7/18 3:36,10832.795227854796,8796.193368879276
2022/7/18 3:38,10774.089317768032,8718.808639413786
2022/7/18 3:40,10693.214982494246,8844.01319254303
2022/7/18 3:42,10756.25237629458,8800.669823317838
2022/7/18 3:44,10922.64573549512,8886.684789942674
2022/7/18 3:46,10999.102417773222,8872.16063846068
2022/7/18 3:48,11375.962776285314,9045.849741786127
2022/7/18 3:50,11038.598480035069,8943.79445800437
